location;sigla_uf;cod_uf
State of Acre;AC;12
State of Alagoas;AL;27
State of Amapá;AP;16
State of Amazonas;AM;13
State of Bahia;BA;29
State of Ceará;CE;23
Federal District;DF;53
State of Espírito Santo;ES;32
State of Goiás;GO;52
State of Maranhão;MA;21
State of Mato Grosso;MT;51
State of Mato Grosso do Sul;MS;50
State of Minas Gerais;MG;31
State of Pará;PA;15
State of Paraíba;PB;25
State of Paraná;PR;41
State of Pernambuco;PE;26
State of Piauí;PI;22
State of Rio de Janeiro;RJ;33
State of Rio Grande do Norte;RN;24
State of Rio Grande do Sul;RS;43
State of Rondônia;RO;11
State of Roraima;RR;14
State of Santa Catarina;SC;42
State of São Paulo;SP;35
State of Sergipe;SE;28
State of Tocantins;TO;17
